attacker_id,n_positive,n_negative,n_total,positive_ratio,negative_ratio,intensity,longevity,similarity_median,log_affect_ratio,log_affect_ratio_z,intensity_scaled,longevity_scaled,similarity_scaled,saints_naive
JPN-2001-IKEDA,2,17,30,0.06666666666666667,0.5666666666666667,0.0,0.0,0.5069500207901001,-2.140052928313095,0.4415135085709692,0.0,0.0,0.6423760605457531,0.2836177083135528
FIN-2007-JOKELA,8,72,130,0.06153846153846154,0.5538461538461539,0.0,0.0,0.6064196825027466,-2.1972101330221747,0.42819334003219334,0.0,0.0,0.7684179321590592,0.3290314409118189
JPN-2008-AKIHABARA,55,567,1014,0.054240631163708086,0.5591715976331361,0.0,0.0,0.47954005002975464,-2.3330094706597815,0.3965460599737318,0.0,0.0,0.6076438220318597,0.24095876349411346
FIN-2008-KAUHAJOKI,56,428,770,0.07272727272727272,0.5558441558441558,0.0,0.0,0.5236818790435791,-2.03375955400498,0.46628458804460166,0.0,0.0,0.6635776479798131,0.3094160302238729
DEU-2009-WINNENDEN,4,80,129,0.031007751937984496,0.6201550387596899,0.0,0.0,0.5528398752212524,-2.995701636572711,0.24210933788041977,0.0,0.0,0.7005248773907714,0.1696036142338419
NOR-2011-BREIVIK,51,894,1218,0.04187192118226601,0.7339901477832512,0.0,0.0,0.6057507991790771,-2.8638576227966053,0.2728348517201028,0.0,0.0,0.7675703641211806,0.20941994647974763
USA-2012-AURORA,70,706,1090,0.06422018348623854,0.6477064220183486,0.0,99.99999999944436,0.5356799960136414,-2.3111059680447017,0.40165054938862504,0.0,0.9999999999944438,0.6787809279820185,0.6742832820248919
USA-2012-OAKCREEK,42,1233,1814,0.023153252480705624,0.6797133406835723,0.0,99.99999999989089,0.4842481017112732,-3.37949416654482,0.15266862416511778,0.0,0.9999999999989091,0.6136095771714022,0.2463475540862489
USA-2012-SANDYHOOK,24,739,1114,0.02154398563734291,0.6633752244165171,0.0,0.8056343737880176,0.5615338087081909,-3.4271991824521635,0.14155123563527142,0.0,0.008056343737880178,0.7115412981718225,0.10185993537254599
USA-2014-ISLAVISTA,50,838,1224,0.04084967320261438,0.684640522875817,0.07011656658424585,1.425410102017616,0.5506289005279541,-2.8189720759730257,0.283295178667306,0.5466989280716109,0.014254101020176163,0.6977232654858467,0.35657692575667344
FRA-2015-HEBDO,9,108,181,0.049723756906077346,0.5966850828729282,0.004633920296570899,0.5447729975010183,0.5763205289840698,-2.4848882148036364,0.3611515636936783,0.03613068041289117,0.005447729975010184,0.730278125728131,0.2787571949654912
DNK-2015-COPENHAGEN,1,29,51,0.0196078431372549,0.5686274509803921,0.002488290398126464,0.46499604848287834,0.6221753358840942,-3.367246589906073,0.155522853756121,0.019401202307191535,0.004649960484828785,0.7883825324852618,0.12635200677715372
USA-2015-CHARLESTON,42,1339,1754,0.02394526795895097,0.7633979475484607,0.12825444313851195,99.99999999999986,0.5191045999526978,-3.4619682763069743,0.13344849176520548,1.0,0.9999999999999988,0.6577775998688845,0.3546764121498503
AUT-2015-GRAZ-SUV,0,2,3,0.0,0.6666666666666666,0.0,0.0,0.0,-13.410046949854983,-2.1848958926936835,0.0,0.0,0.0,-0.0
SWE-2015-TROLLHATTAN,4,93,186,0.021505376344086023,0.5,0.0019433198380566803,3.9589063267896822,0.5652427673339844,-3.1462606331124565,0.20702240143652093,0.015152066396311416,0.03958906326789683,0.7162410636971323,0.15961058513446083
FRA-2015-BATACLAN,1,51,72,0.013888888888888888,0.7083333333333334,0.0,99.99999998095416,0.48612460494041443,-3.931755047079911,0.02396729869719043,0.0,0.9999999998095418,0.6159873672937074,0.038730851918249896
USA-2015-SANBERN,82,530,1031,0.07953443258971872,0.5140640155189137,0.0031621522245373207,99.99999999608688,0.5503286123275757,-1.8661471314713514,0.5053457305323097,0.024655303529112566,0.9999999999608691,0.6973427586443897,0.8702043686845155
TUR-2016-ANKARA,0,8,8,0.0,1.0,0.0,0.0,0.7891795039176941,-13.815511557963774,-2.2793871636368173,0.0,0.0,1.0,-2.2793871636368173
BEL-2016-BRUSSELS,29,384,523,0.055449330783938815,0.734225621414914,0.00013810247203424942,15.59428109630297,0.5980291962623596,-2.583330050259353,0.33821024166418634,0.0010767850895044768,0.15594281096302973,0.7577860211695638,0.3093966288764409
USA-2016-PULSE,27,645,1034,0.02611218568665377,0.6237911025145068,0.04167182334117148,1.0105487480451893,0.6039040088653564,-3.173376758327922,0.2007031393272741,0.3249152413079899,0.010105487480451895,0.7652302243880112,0.2208238203503398
FRA-2016-MAGNANVILLE,16,356,557,0.02872531418312388,0.6391382405745063,0.000501109599828191,4.5904270058066174,0.6170283555984497,-3.102308761323708,0.2172651406117592,0.003907151967335773,0.04590427005806618,0.7818605938640818,0.1806933374750939
FRA-2016-NICE,2,45,76,0.02631578947368421,0.5921052631578947,0.0004886575074708215,3.1859903889356254,0.6638749837875366,-3.113478998819819,0.21466197891370786,0.0038100629928515014,0.03185990388935626,0.8412217758974823,0.18823531679817837
DEU-2016-MUNICH,0,3,4,0.0,0.75,0.00012270691453463402,0.0,0.0,-13.527829818844937,-2.2123445349761757,0.0009567459148539071,0.0,0.0,-0.002116651596087823
JPN-2016-SAGAMIHARA,26,76,152,0.17105263157894737,0.5,0.0002881097121783975,10.320930900720711,0.5662019848823547,-1.0726329561260917,0.6902697940393483,0.0022463916658797185,0.10320930900720714,0.717456525507289,0.5680314528779896
DEU-2016-BERLIN,79,683,1014,0.07790927021696252,0.6735700197238659,0.00200769047538027,5.661995035205689,0.4990561604499817,-2.1570356563686497,0.4375557782883291,0.01565396430915075,0.0566199503520569,0.632373443522717,0.3083225232289821
TUR-2017-REINA,0,10,12,0.0,0.8333333333333334,0.0,99.99999999999905,0.7176312208175659,-13.6331902011696,-2.2368981858591663,0.0,0.9999999999999907,0.909338391652414,-4.270995584478523
MEX-2017-MONTERREY,21,296,536,0.03917910447761194,0.5522388059701493,0.0,99.99999999914839,0.5609436631202698,-2.645813303926012,0.3236488670496091,0.0,0.999999999991484,0.71079350177697,0.5536963786031937
AUS-2017-BOURKE1,1,34,52,0.019230769230769232,0.6538461538461539,0.0005368921613744439,99.99999999999538,0.6102848052978516,-3.5263100553787097,0.11845399814568011,0.004186148629522428,0.999999999999954,0.7733155793684932,0.2105521863922147
CAN-2017-QUEBEC,31,442,632,0.0490506329113924,0.6993670886075949,0.004939665514078047,0.5045454791916956,0.6012201905250549,-2.657303720566823,0.3209710893833398,0.038514576128511335,0.005045454791916957,0.7618294539334083,0.25850674033142274
UK-2017-MANCHESTER,23,664,1015,0.022660098522167486,0.6541871921182266,0.006136383279075798,1.1526661352986507,0.5477423667907715,-3.36274533269951,0.15657184670343136,0.047845385539186665,0.011526661352986509,0.6940656264786841,0.11796712789561184
UK-2017-LONDONBRIDGE,2,51,84,0.023809523809523808,0.6071428571428571,0.00397659489859683,0.36879145547884484,0.6322638988494873,-3.238638100103823,0.18549434673592527,0.03100551373726831,0.003687914554788449,0.8011661424438464,0.1550472250366273
UK-2017-FINSBURY,52,706,1008,0.051587301587301584,0.7003968253968254,0.0031477117289342277,2.0929103070550634,0.5512265563011169,-2.6083535622453295,0.33237865142491874,0.024542710972864847,0.02092910307055064,0.6984805783281037,0.24727389290078755
ESP-2017-BARCELONA,36,819,1022,0.03522504892367906,0.8013698630136986,0.0007061496423198551,14.66255044961161,0.48028457164764404,-3.1245380047734965,0.2120847391077362,0.00550584934946253,0.14662550449611614,0.6085872342900258,0.1613368032991451
USA-2017-LASVEGAS,25,762,1139,0.021949078138718173,0.66900790166813,0.12244835594670578,1.246288492769951,0.5843442678451538,-3.4170266666058096,0.14392188385410004,0.9547299333284249,0.012462884927699511,0.7404453168693759,0.24576649734836425
USA-2017-SUTHERLAND,41,635,1009,0.040634291377601585,0.6293359762140733,0.0073134389567071755,0.48411582982320933,0.5061913728713989,-2.740029911710217,0.3016922108200927,0.057022889638285855,0.004841158298232094,0.6414147483031835,0.212173734860449
