attacker_id,saints_bayes_mean,saints_bayes_hdi_lo,saints_bayes_hdi_hi
JPN-2001-IKEDA,0.01687130609553879,-0.7278751311657842,0.6987604577162162
FIN-2007-JOKELA,0.012711976847847294,-0.4350844230924885,0.44480782062756574
JPN-2008-AKIHABARA,-0.014578435137487727,-1.013196726066774,1.0724774107939563
FIN-2008-KAUHAJOKI,-0.0042793305949329575,-0.5243922683831843,0.550249732157989
DEU-2009-WINNENDEN,0.011487757662779952,-0.462961917705154,0.4297864730660523
NOR-2011-BREIVIK,-0.017799281258255216,-1.355417838311865,1.4137858963666663
USA-2012-AURORA,0.0014647311768055552,-1.159022820326674,1.1876920715175985
USA-2012-OAKCREEK,-0.027259210898085553,-2.0384745680054444,2.045839112854646
USA-2012-SANDYHOOK,-0.012432616988500435,-1.1424394957201005,1.1654303533325139
USA-2014-ISLAVISTA,0.0058124227486397295,-1.4443806508175028,1.4353478907669808
FRA-2015-HEBDO,0.009387841975480019,-0.4183182496466766,0.39669376175158344
DNK-2015-COPENHAGEN,0.020871667040786895,-0.5674988771353148,0.5999614315371391
USA-2015-CHARLESTON,0.0111533481899481,-2.358061150120966,2.4323616095444187
AUT-2015-GRAZ-SUV,-0.014582024591133603,-1.4647697130081057,1.3308607020610732
SWE-2015-TROLLHATTAN,0.013310697104481939,-0.4010889590446324,0.4226499575080524
FRA-2015-BATACLAN,0.02326851140879241,-0.4912627640302723,0.5015603817366658
USA-2015-SANBERN,-0.0007137336948192314,-1.1921633410124308,1.1903713245388574
TUR-2016-ANKARA,0.0314182406967608,-0.9160551368494947,0.9679510617908167
BEL-2016-BRUSSELS,0.00896746911184761,-0.47379919232467865,0.5223402965961831
USA-2016-PULSE,0.010072176570952482,-1.039596803012198,1.085336629910482
FRA-2016-MAGNANVILLE,0.006819776859670409,-0.5161726740159917,0.5323205209869506
FRA-2016-NICE,0.022843502121277046,-0.5019535609507131,0.48872188427548935
DEU-2016-MUNICH,-0.017371400554676446,-1.3784714951087191,1.32381735946772
JPN-2016-SAGAMIHARA,0.009825857091379104,-0.38604666671087495,0.4338908469455636
DEU-2016-BERLIN,-0.010923577746361846,-0.9989766084686164,1.0407476217132188
TUR-2017-REINA,0.04530287970342933,-0.8234183935892452,0.8375589353023165
MEX-2017-MONTERREY,0.01943977347686855,-0.5465570037893861,0.604961483839859
AUS-2017-BOURKE1,0.031596334880630066,-0.54389447813137,0.5328843017774453
CAN-2017-QUEBEC,0.011203339898467474,-0.5568958004041881,0.540091920660694
UK-2017-MANCHESTER,-0.009579041927195851,-1.0424684409697609,1.0112477319209372
UK-2017-LONDONBRIDGE,0.018250856122240727,-0.505475808929932,0.4557473887332866
UK-2017-FINSBURY,-0.005784468777850591,-0.857652126638059,0.8845443689366692
ESP-2017-BARCELONA,-0.015012300373264393,-1.16479348640486,1.1552757716364537
USA-2017-LASVEGAS,0.021082005388394463,-1.4623166617509427,1.5637362849235306
USA-2017-SUTHERLAND,-0.005515256140817777,-0.7707150394893221,0.7933886651486616
ITA-2018-MACERATA,-0.028875878713815053,-1.910473899762412,1.8422132869706178
USA-2018-PARKLAND,-0.012713516083503348,-1.9878120424301353,1.9789638516434835
CAN-2018-TORONTO,0.004353730445082311,-0.5310235369388168,0.6245624994747889
USA-2018-SANTAFE,0.009506083216720182,-0.4169037951040258,0.39655486532800227
BEL-2018-LIEGE,-0.009009888106023546,-1.525762175499869,1.4719748212877943
USA-2018-ANNAPOLIS,0.020857167782326262,-0.5046196443440498,0.46464979395536565
RUS-2018-KERCH,0.020653631063194205,-0.5523581759890694,0.5792193530501206
USA-2018-PITTSBURGH,-0.0038556926791759863,-0.8494464226851642,0.8637874714929444
USA-2018-THOUSANDOAKS,0.01910552066313449,-0.670975688546949,0.6258221926687957
AUS-2018-BOURKE2,0.024707669593364522,-0.9206597969603453,0.8911664709213517
FRA-2018-STRASBOURG,0.016654225227213933,-0.5889090726865901,0.5809147407826009
USA-2019-HASSON,0.0077107262531708924,-0.4208023446239646,0.3785747873836264
NZL-2019-CHRISTCHURCH,-0.0018349396860331251,-1.5506229526813453,1.585697486332663
NLD-2019-UTRECHT,-0.010168847867659998,-1.8012352611758404,1.8075248347151271
USA-2019-POWAY,-0.01828020927321994,-1.2145621484798232,1.232075276650497
USA-2019-STEM,-0.0029647733830323,-0.6385321523771218,0.7258663190629833
USA-2019-VABEACH,0.007836866375258673,-0.4108046051152746,0.4154746229187569
AUS-2019-DARWIN,0.015061397694442206,-0.46931559658500865,0.6032927538778258
JPN-2019-KYOANI,-0.0015229944209410899,-0.5034082677992322,0.6015296165307153
USA-2019-ELPASO,-0.0022904079464909697,-0.6828644037046124,0.7640863822271616
USA-2019-DAYTON,0.0017035843386352919,-0.7446352777891857,0.7609773015799391
USA-2019-CLIMO,0.01212201271083719,-0.6418135408822713,0.6135981337343019
NOR-2019-BAERUM,0.009664333810364197,-0.40954191109427907,0.4105924538819943
FIN-2019-KUOPIO,-0.013534880850081183,-1.8366593700675937,1.8547875015149506
DEU-2019-HALLE,0.009623087190658826,-0.6086430156577058,0.6689034695374945
USA-2019-HOLZER,0.010932484014435511,-0.4170419074474257,0.4019665757089713
UK-2019-FISHMONGERS,-0.010342098722811534,-1.6234116494290176,1.6305849290682604
USA-2020-BASE,-0.000023734110734132425,-1.6640190561122419,1.632234082580495
UK-2020-STREATHAM,-0.010635974445553071,-0.79642963792593,0.8767873421774521
DEU-2020-GRUPPES,0.028112094464921245,-0.670745660302972,0.7066320781701336
DEU-2020-HANAU,0.011001497099884955,-0.4413671736789202,0.4443044671185988
DEU-2020-VOLKMARSEN,-0.011102149560045599,-1.407265254803024,1.2979038972032284
CAN-2020-NOVASCOTIA,0.006644929210933754,-0.4786502191748251,0.5184710969882929
USA-2020-MELZER,0.0036295338512204096,-0.4299287624877146,0.4270899932667453
UK-2020-READING,0.01723461994733221,-0.5527623003677914,0.5495147286258202
USA-2020-WHITMER,0.014076415330453314,-0.7964077334176616,0.8739961912854817
FRA-2020-PATY,0.022583804874915122,-0.7502195770468427,0.7558108195578707
FRA-2020-NICECHURCH,-0.015503832981432744,-1.3978857645770135,1.3025724956529272
AUT-2020-VIENNA,-0.012597835071561586,-1.420446021068838,1.3698349597936854
USA-2021-ATLANTA,-0.05116880011514349,-2.5369372751026638,2.5013207552742887
USA-2021-BOULDER,0.004553800907929015,-0.4087525498111642,0.4356572812230059
USA-2021-FEDEX,-0.05014665559133773,-2.494882452027682,2.4477580995749144
RUS-2021-KAZAN,0.0036198954227967955,-1.668214351068872,1.6301854440202845
CAN-2021-LONDONON,0.02175060611276847,-1.1037780067092242,1.0715900934215326
JPN-2021-ODAKYU,0.004257618447711278,-0.5407480590583504,0.51182213441054
UK-2021-PLYMOUTH,0.0030172407164311653,-0.40447861664825996,0.4762926891539178
NZL-2021-LYNNMALL,-0.0011425978025248484,-1.5081515029258887,1.4895294309477018
RUS-2021-PERM,-0.002105532968987333,-1.6678921755057856,1.6280919917369376
NOR-2021-KONGSBERG,-0.004262205152734604,-1.421364170674454,1.3966117737572759
UK-2021-AMESS,0.00004766972065715369,-1.6823041546305202,1.6316835555330027
JPN-2021-KEIO,0.013988765649477701,-0.4637936514621336,0.43914945592778126
UK-2021-LIVERPOOL,0.004062741123683653,-1.6839282971872276,1.6235327277092553
USA-2021-OXFORD,-0.013015911252458857,-1.4909165360789287,1.4188010212976252
DEU-2022-VEREINTEPATRIOTEN,-0.03911630767388416,-2.0337080856920524,1.9861507364777449
USA-2022-BUFFALO,0.023537541722526437,-0.963865786398322,0.9335193247200335
USA-2022-UVALDE,-0.0069129194217508036,-0.891991259479451,0.9058385624787794
NOR-2022-OSLOPRIDE,0.0029686751136550806,-1.6551999544029221,1.6283551306708455
DNK-2022-COPENHAGEN,-0.007874592771488548,-0.7363787530506158,0.8024645344473615
USA-2022-HIGHLAND,-0.0004914602972385127,-1.6803098599059028,1.6363130986327523
JPN-2022-ABE,-0.0058274728490944686,-1.4642480948905674,1.3653594313504327
CAN-2022-JAMESSMITH,-0.003858941786132944,-0.5464706416503134,0.5599780155251352
RUS-2022-IZHEVSK,0.024340086690137295,-0.9504802807734005,0.9966460976435836
SVK-2022-BRATISLAVA,0.0041105048462753415,-1.6838770943809813,1.6100145750879145
USA-2022-CLUBQ,-0.0013246290427951382,-0.468223308743807,0.5147996462277212
USA-2022-CHESAPEAKE,-0.03741374014482191,-2.1245290702719726,2.0527376799730623
DEU-2022-REUSS,0.0018449895977563642,-1.656550320253779,1.6363106251366208
AUS-2022-WIEAMBILLA,-0.03961843698545514,-2.1373942958984773,2.1387718746920377
USA-2023-MONTEREY,-0.04837394751393538,-2.423903155447915,2.4000435585946294
USA-2023-HALFMOONBAY,-0.0010070842021298713,-0.6564320320169528,0.731233934202941
ESP-2023-ALGECIRAS,-0.0030270635692874145,-1.671348722710395,1.614727532835187
DEU-2023-BROKSTEDT,0.016449781057528198,-0.9487867242248592,0.9845824522632938
USA-2023-NASHVILLE,-0.032264428668211824,-1.7123255409388278,1.742453327265585
USA-2023-LOUISVILLE,-0.007840657678421643,-1.0813194445859216,1.0994803888525106
JPN-2023-KISHIDA,0.004172082938085918,-0.41620391015302005,0.4450289705101894
USA-2023-ALLEN,-0.016632175820770215,-0.9952940647147561,0.9783182511168342
JPN-2023-NAGANO,0.004815345639253885,-0.4775503132990581,0.5423521685838049
FRA-2023-ANNECY,0.004554852760740699,-0.4218948243866246,0.4324591269985283
UK-2023-NOTTINGHAM,0.004731654369690973,-1.7049439427110133,1.602152792528888
NZL-2023-AUCKLANDCBD,-0.021009656960651848,-1.2398801727683668,1.2163824551647184
KOR-2023-SILLIM,-0.007538411716884281,-0.6560109634419391,0.7295827681978359
KOR-2023-BUNDANG,-0.00768831616218831,-1.5931414781530895,1.5153963310501526
USA-2023-JACKSONVILLE,-0.009140225089170532,-1.4937042692146203,1.4279959318490023
NLD-2023-ROTTERDAM,0.00015050748065946934,-1.6965598771505892,1.625983498639938
FRA-2023-ARRAS,0.001968927004506957,-1.667101904529667,1.6401662484389508
BEL-2023-BRUSSELS,-0.009972610952888641,-1.5897043007022966,1.497779904002732
USA-2023-LEWISTON,-0.03999678826887507,-2.0086689747192885,1.9617247557985866
FRA-2023-CREPOL,0.009514817876068204,-0.7914163212758637,0.7328863302013139
RUS-2023-BRYANSK,-0.0032708338788765864,-1.6592529934703484,1.6533065264464186
CZE-2023-PRAGUE,0.0028349253351957417,-0.4251000336911337,0.42577169200178444
FIN-2024-VIERTOLA,-0.015615923375741367,-1.0672697460693257,1.040680544389074
AUS-2024-BONDI,-0.01329727559881903,-1.417768767358339,1.3865253961079633
AUS-2024-WAKELEY,-0.00687406455572006,-0.7458660149811008,0.7457996352747404
UK-2024-HAINAULT,0.006507948809466067,-0.5810442511576769,0.5290871875491024
DEU-2024-MANNHEIM,0.018854168165062895,-0.7221512143822351,0.7432131350238378
USA-2024-TAKHISTOV,0.003405326492396049,-0.4346308053170412,0.44225657210180286
MEX-2024-UTEG,-0.00825123522837931,-1.6038972653043997,1.4890191347991812
USA-2024-BUTLER,-0.013099115176951334,-1.0923432246609364,1.114840974970065
UK-2024-SOUTHPORT,0.0013430498579308596,-1.655774742379853,1.6434348710966993
TUR-2024-ESKISEHIR,0.0012389545606650316,-1.707205511264352,1.5990781925173547
DEU-2024-SOLINGEN,-0.003574052698278461,-1.643806208904995,1.6432245651691475
USA-2024-APALACHEE,-0.02446926843804743,-1.4552024623126283,1.4737869107399635
DEU-2024-MUNICHCONSULATE,0.011025623927887255,-0.4180198983981075,0.4527053545706948
USA-2024-HUMBER,-0.011803019674479784,-0.9034057355939457,0.9566770509184348
DEU-2024-SACHSISCHE,-0.0033920717992663918,-0.5835570698326402,0.6790238628398516
USA-2024-MADISON,0.00031317327891950905,-1.6535372952091638,1.63042531884827
DEU-2024-MAGDEBURG,0.0024579476328468208,-1.6675869574666198,1.6376784904278547
USA-2025-NEWORLEANS,0.00234737506595252,-0.5107989711525811,0.568076170215007
USA-2025-LASVEGAS,0.0006755838190877446,-1.6706658160773686,1.641477844021617
DEU-2025-ASCHAFFENBURG,0.0007458350674665089,-1.6578889507440613,1.6413783405674234
USA-2025-ANTIOCH,-0.006507127078034196,-0.8220261602944903,0.8841546677261926
SWE-2025-OREBRO,0.002300554529325924,-0.42753425671810374,0.4821734068233915
USA-2025-CASAP-WI,-0.0014900576017860153,-0.8072655105471027,0.8930112535131507
USA-2025-ALLEN-FL,-0.03816587055479057,-1.9579877912812222,1.9010216098485366
USA-2025-FSU,0.009469559799095334,-0.6984145304223892,0.631054527394059
CAN-2025-VANCOUVER,0.0031262669712222905,-1.650551870771294,1.659086415907382
AUT-2025-GRAZ,0.0032911216050411137,-1.6513024723610374,1.6821595059849461
JPN-2025-YOKOHAMA,0.008583043053622173,-0.42932697403753367,0.4378434219083884
USA-2025-MINNEAPOLIS,0.011465660530746824,-0.5845741641857304,0.5371255909104357
MEX-2025-CCHSUR,0.0015208409484077706,-0.3961362960408217,0.3764102567469181
RUS-2025-ODINTSOVO,0.00837157897060848,-0.4644875557666261,0.4837775932871848
AUS-2025-BONDIBEACH,-0.013292760539538942,-1.433287624256312,1.3741283619264704
RUS-2026-ANAPA,0.0032906934830857276,-0.425213888027786,0.4325346261722227
