case_id,subculture_tag,position
DEU-2024-SACHSISCHE,atomwaffen,0
USA-2024-MADISON,columbine_fandom,0
USA-2024-MADISON,terrorgram,0
USA-2024-MADISON,tcc,0
USA-2024-MADISON,nve,0
DEU-2024-MAGDEBURG,misc,0
USA-2025-NEWORLEANS,jihadist,0
USA-2025-ANTIOCH,accelerationist,0
USA-2025-ANTIOCH,terrorgram,0
USA-2025-ANTIOCH,tcc,0
USA-2025-ANTIOCH,nve,0
USA-2025-ANTIOCH,groyper,0
USA-2025-CASAP-WI,accelerationist,0
USA-2025-CASAP-WI,tcc,0
USA-2025-CASAP-WI,nve,0
USA-2025-ALLEN-FL,accelerationist,0
USA-2025-ALLEN-FL,great_replacement,0
USA-2025-ALLEN-FL,terrorgram,0
USA-2025-FSU,misc,0
AUT-2025-GRAZ,columbine_fandom,0
JPN-2025-YOKOHAMA,misc,0
USA-2025-MINNEAPOLIS,columbine_fandom,0
USA-2025-MINNEAPOLIS,tcc,0
MEX-2025-CCHSUR,incel,0
RUS-2025-ODINTSOVO,accelerationist,0
RUS-2025-ODINTSOVO,kolumbayn,0
RUS-2025-ODINTSOVO,terrorgram,0
AUS-2025-BONDIBEACH,jihadist,0
RUS-2026-ANAPA,kolumbayn,0
RUS-2026-ANAPA,accelerationist,0
SVK-2022-BENADIK,accelerationist,0
SVK-2022-BENADIK,terrorgram,0
USA-2024-PAFFENDORF,accelerationist,0
USA-2024-PAFFENDORF,tcc,0
USA-2024-PAFFENDORF,nve,0
